,dominant_r,dominant_g,dominant_b
0,162,157,156.0
1,133,102,96.0
2,167,164,167.0
3,73,72,72.0
4,55,37,27.0
5,130,126,135.0
6,137,94,107.0
7,90,92,82.0
8,119,107,95.0
9,115,96,82.0
10,104,95,87.0
11,117,135,145.0
12,134,104,92.0
13,219,210,208.0
14,134,131,99.0
15,81,68,57.0
16,129,92,64.0
17,135,115,70.0
18,99,59,21.0
19,122,103,90.0
20,136,105,91.0
21,212,163,147.0
22,112,110,101.0
23,211,208,202.0
24,48,43,46.0
25,115,111,97.0
26,93,111,113.0
27,183,160,114.0
28,117,108,108.0
29,164,164,164.0
30,75,95,90.0
31,74,73,75.0
32,53,42,34.0
33,166,166,166.0
34,125,128,141.0
35,115,101,107.0
36,187,188,197.0
37,169,165,162.0
38,140,156,172.0
39,154,147,158.0
40,64,24,16.0
41,102,102,102.0
42,152,151,151.0
43,176,163,147.0
44,185,78,78.0
45,46,44,43.0
46,170,168,167.0
47,167,133,102.0
48,141,129,105.0
49,143,127,125.0
50,53,56,64.0
51,96,82,78.0
52,156,148,141.0
53,94,110,136.0
54,52,25,14.0
55,112,87,54.0
56,98,95,81.0
57,105,109,119.0
58,188,139,57.0
59,87,77,69.0
60,179,96,77.0
61,127,114,106.0
62,139,133,134.0
63,108,83,75.0
64,194,162,54.0
65,121,130,127.0
66,180,155,110.0
67,86,66,55.0
68,73,65,55.0
69,117,97,52.0
70,107,131,154.0
71,195,187,175.0
72,114,114,113.0
73,32,3,9.0
74,174,144,125.0
75,181,104,77.0
76,171,133,93.0
77,91,70,67.0
78,57,54,66.0
79,162,117,79.0
80,212,206,199.0
81,115,107,95.0
82,207,196,185.0
83,80,78,66.0
84,138,75,63.0
85,151,150,150.0
86,128,81,82.0
87,131,96,74.0
88,135,130,123.0
89,92,93,95.0
90,196,192,158.0
91,129,101,92.0
92,90,79,70.0
93,118,104,76.0
94,124,115,103.0
95,90,85,83.0
96,115,90,80.0
97,129,119,103.0
98,172,144,60.0
99,94,47,42.0
100,155,127,94.0
101,91,68,75.0
102,103,96,84.0
103,132,87,70.0
104,191,160,138.0
105,53,36,34.0
106,184,175,166.0
107,93,64,57.0
108,126,92,81.0
109,62,36,23.0
110,114,91,81.0
111,79,55,50.0
112,84,65,77.0
113,136,114,108.0
114,121,104,84.0
115,64,55,60.0
116,155,148,137.0
117,76,56,42.0
118,176,93,93.0
119,129,86,45.0
120,87,69,55.0
121,113,98,96.0
122,92,65,64.0
123,157,156,155.0
124,92,91,81.0
125,102,101,104.0
126,150,118,129.0
127,167,147,132.0
128,57,31,23.0
129,87,76,52.0
130,146,130,138.0
131,149,121,120.0
132,104,103,102.0
133,143,126,99.0
134,79,63,55.0
135,170,127,98.0
136,122,87,85.0
137,103,75,52.0
138,35,36,37.0
139,175,172,175.0
140,147,101,124.0
141,128,127,122.0
142,175,158,153.0
143,118,121,128.0
144,119,111,107.0
145,141,153,150.0
146,89,71,79.0
147,136,120,103.0
148,132,84,68.0
149,126,108,81.0
150,134,104,70.0
151,79,61,62.0
152,92,80,75.0
153,134,122,105.0
154,122,99,94.0
155,81,57,51.0
156,175,160,153.0
157,67,69,76.0
158,95,85,92.0
159,108,83,77.0
160,147,140,112.0
161,107,82,74.0
162,112,101,115.0
163,108,82,67.0
164,88,76,74.0
165,129,133,132.0
166,88,89,83.0
167,89,55,49.0
168,119,118,119.0
169,38,37,34.0
170,134,122,118.0
171,116,91,77.0
172,111,106,92.0
173,134,121,116.0
174,126,142,156.0
175,137,90,68.0
176,134,120,97.0
177,89,70,63.0
178,124,106,96.0
179,218,65,122.0
180,144,136,135.0
181,126,162,203.0
182,37,37,39.0
183,199,176,142.0
184,74,42,31.0
185,103,74,79.0
186,123,106,91.0
187,136,94,96.0
188,142,141,76.0
189,61,47,63.0
190,144,140,137.0
191,86,79,80.0
192,128,111,106.0
193,118,80,86.0
194,51,47,61.0
195,62,50,43.0
196,63,45,35.0
197,138,77,42.0
198,52,48,47.0
199,164,122,98.0
200,148,132,59.0
201,188,77,60.0
202,141,81,67.0
203,174,166,149.0
204,57,56,51.0
205,106,64,44.0
206,97,73,62.0
207,97,65,57.0
208,101,110,113.0
209,180,164,139.0
210,117,70,80.0
211,245,53,52.0
212,225,222,214.0
213,146,136,146.0
214,76,89,102.0
215,105,89,81.0
216,55,50,52.0
217,168,130,89.0
218,159,143,119.0
219,83,84,75.0
220,116,106,98.0
221,189,140,130.0
222,116,115,99.0
223,73,68,67.0
224,109,125,137.0
225,110,85,80.0
226,108,122,146.0
227,134,149,150.0
228,119,108,109.0
229,101,89,89.0
230,147,100,99.0
231,128,116,116.0
232,92,92,103.0
233,79,95,84.0
234,72,78,65.0
235,84,116,118.0
236,162,178,185.0
237,120,112,107.0
238,104,73,57.0
239,94,52,50.0
240,121,79,74.0
241,122,85,47.0
242,85,49,50.0
243,181,169,168.0
244,106,111,110.0
245,57,51,78.0
246,188,141,96.0
247,145,133,123.0
248,129,122,123.0
249,152,149,134.0
250,123,129,129.0
251,74,75,77.0
252,107,103,101.0
253,124,112,105.0
254,115,115,114.0
255,126,108,99.0
256,107,103,110.0
257,96,96,130.0
258,58,96,87.0
259,186,81,56.0
260,166,175,177.0
261,155,104,107.0
262,79,71,46.0
263,113,72,93.0
264,158,100,73.0
265,129,123,121.0
266,127,97,94.0
267,176,162,155.0
268,68,60,40.0
269,152,125,125.0
270,188,190,196.0
271,185,143,117.0
272,126,106,101.0
273,132,87,63.0
274,203,87,58.0
275,104,104,77.0
276,71,76,86.0
277,99,81,69.0
278,199,170,149.0
279,100,76,71.0
280,194,141,105.0
281,41,10,8.0
282,97,99,81.0
283,180,189,187.0
284,134,132,132.0
285,113,85,65.0
286,104,103,107.0
287,157,110,148.0
288,128,104,101.0
289,149,116,122.0
290,191,182,177.0
291,166,122,113.0
292,114,105,115.0
293,133,149,166.0
294,79,94,99.0
295,59,47,46.0
296,158,159,161.0
297,87,85,80.0
298,63,66,69.0
299,162,128,130.0
300,83,73,77.0
301,117,111,84.0
302,91,84,101.0
303,133,114,108.0
304,115,98,95.0
305,162,136,126.0
306,121,81,56.0
307,129,129,132.0
308,40,40,43.0
309,30,12,7.0
310,153,109,75.0
311,152,122,118.0
312,125,121,104.0
313,97,58,48.0
314,97,118,115.0
315,107,101,102.0
316,104,78,63.0
317,165,159,158.0
318,73,55,51.0
319,89,90,92.0
320,107,46,37.0
321,119,96,89.0
322,152,81,74.0
323,77,62,72.0
324,193,170,158.0
325,26,15,9.0
326,150,53,29.0
327,90,77,72.0
328,195,192,185.0
329,21,12,10.0
330,94,67,48.0
331,103,86,76.0
332,81,94,74.0
333,75,83,74.0
334,36,21,22.0
335,52,52,52.0
336,138,134,129.0
337,135,98,96.0
338,81,81,80.0
339,137,111,108.0
340,141,86,64.0
341,33,26,18.0
342,137,114,102.0
343,119,95,76.0
344,93,92,64.0
345,98,77,59.0
346,138,134,134.0
347,34,39,42.0
348,106,92,87.0
349,120,110,108.0
350,96,68,67.0
351,158,116,151.0
352,148,118,99.0
353,172,147,130.0
354,48,62,72.0
355,105,73,68.0
356,32,32,32.0
357,157,145,144.0
358,108,99,88.0
359,34,26,31.0
360,182,133,109.0
361,99,77,57.0
362,109,121,124.0
363,107,79,110.0
364,223,218,199.0
365,76,108,135.0
366,179,179,179.0
367,97,63,47.0
368,97,104,108.0
369,172,163,161.0
370,64,63,67.0
371,109,83,52.0
372,139,135,134.0
373,90,82,94.0
374,94,82,96.0
375,96,104,115.0
376,128,125,125.0
377,97,77,98.0
378,77,101,102.0
379,149,134,135.0
380,35,33,19.0
381,94,91,67.0
382,42,46,45.0
383,82,121,118.0
384,103,105,104.0
385,133,70,107.0
386,109,95,82.0
387,113,100,98.0
388,56,34,26.0
389,156,57,63.0
390,64,64,62.0
391,141,118,105.0
392,184,180,170.0
393,140,105,65.0
394,111,90,84.0
395,109,123,113.0
396,123,110,120.0
397,104,80,79.0
398,102,97,94.0
399,152,111,101.0
400,163,152,97.0
401,119,105,95.0
402,135,106,84.0
403,61,55,48.0
404,118,107,82.0
405,162,154,143.0
406,108,79,47.0
407,87,83,72.0
408,128,98,71.0
409,99,99,99.0
410,119,103,92.0
411,102,98,113.0
412,195,175,153.0
413,75,67,61.0
414,112,94,89.0
415,121,115,46.0
416,165,143,117.0
417,99,71,74.0
418,162,157,152.0
419,80,47,30.0
420,128,91,68.0
421,53,46,50.0
422,140,119,98.0
423,76,71,65.0
424,63,66,63.0
425,54,50,37.0
426,50,61,58.0
427,109,119,123.0
428,152,135,103.0
429,35,46,59.0
430,65,55,48.0
431,113,92,89.0
432,106,101,100.0
433,141,95,76.0
434,87,86,71.0
435,203,183,193.0
436,111,79,50.0
437,150,95,79.0
438,83,81,82.0
439,130,111,100.0
440,123,48,28.0
441,153,141,144.0
442,123,86,62.0
443,168,143,121.0
444,106,85,74.0
445,205,102,33.0
446,139,123,115.0
447,106,91,83.0
448,98,103,108.0
449,94,84,76.0
450,116,99,60.0
451,146,129,126.0
452,107,106,107.0
453,85,85,83.0
454,84,107,106.0
455,119,87,72.0
456,120,110,104.0
457,97,85,78.0
458,221,95,136.0
459,123,105,134.0
460,112,55,44.0
461,77,57,55.0
462,65,46,23.0
463,111,68,53.0
464,80,73,76.0
465,82,79,92.0
466,168,115,80.0
467,191,170,153.0
468,43,127,183.0
469,68,55,44.0
470,134,102,88.0
471,159,116,86.0
472,108,88,66.0
473,38,45,62.0
474,30,57,79.0
475,150,118,109.0
476,171,137,105.0
477,162,153,141.0
478,101,82,67.0
479,173,150,132.0
480,88,72,74.0
481,148,95,78.0
482,162,96,74.0
483,60,70,63.0
484,110,85,81.0
485,165,90,80.0
486,102,112,108.0
487,117,101,74.0
488,47,28,31.0
489,64,54,53.0
490,189,61,21.0
491,43,59,67.0
492,97,92,77.0
493,132,75,31.0
494,74,71,73.0
495,41,38,30.0
496,71,41,29.0
497,62,66,75.0
498,83,65,59.0
499,89,87,80.0
500,137,108,102.0
501,92,83,75.0
502,126,105,95.0
503,78,69,81.0
504,185,165,146.0
505,113,113,106.0
506,105,116,113.0
507,174,168,162.0
508,67,155,202.0
509,150,146,149.0
510,122,115,99.0
511,137,136,140.0
512,147,87,55.0
513,111,93,85.0
514,48,34,38.0
515,135,121,119.0
516,63,60,56.0
517,105,99,84.0
518,123,114,111.0
519,170,145,164.0
520,102,59,46.0
521,205,192,184.0
522,82,67,62.0
523,155,133,121.0
524,143,139,122.0
525,76,63,71.0
526,81,69,68.0
527,123,106,111.0
528,117,96,84.0
529,167,163,162.0
530,146,166,170.0
531,129,144,135.0
532,90,44,35.0
533,186,150,111.0
534,100,71,63.0
535,142,126,123.0
536,160,130,113.0
537,166,113,102.0
538,104,109,99.0
539,100,137,175.0
540,178,164,137.0
541,68,68,68.0
542,123,123,123.0
543,165,143,103.0
544,101,62,60.0
545,152,118,78.0
546,189,160,141.0
547,139,160,135.0
548,67,55,42.0
549,172,164,155.0
550,111,105,97.0
551,111,103,95.0
552,147,88,55.0
553,142,140,127.0
554,190,170,166.0
555,181,165,163.0
556,72,65,55.0
557,104,80,82.0
558,141,127,123.0
559,137,120,97.0
560,119,101,78.0
561,121,97,77.0
562,149,134,119.0
563,198,192,187.0
564,157,126,106.0
565,192,181,181.0
566,213,201,178.0
567,190,126,128.0
568,187,168,144.0
569,161,155,151.0
570,157,119,102.0
571,188,186,178.0
572,142,90,77.0
573,106,105,111.0
574,59,35,24.0
575,140,108,102.0
576,87,95,120.0
577,114,100,87.0
578,35,42,61.0
579,214,157,121.0
580,138,97,71.0
581,137,139,130.0
582,56,73,115.0
583,135,84,67.0
584,67,61,53.0
585,131,148,143.0
586,124,105,90.0
587,149,158,138.0
588,46,39,95.0
589,125,109,86.0
590,85,78,75.0
591,144,124,87.0
592,189,93,63.0
593,61,39,25.0
594,92,110,98.0
595,112,103,117.0
596,133,94,77.0
597,140,141,127.0
598,143,110,77.0
599,130,111,90.0
600,141,142,140.0
601,154,131,108.0
602,120,109,102.0
603,215,202,198.0
604,135,129,126.0
605,210,188,165.0
606,214,163,130.0
607,34,33,70.0
608,172,152,155.0
609,118,108,103.0
610,115,99,103.0
611,159,155,143.0
612,87,87,84.0
613,180,159,146.0
614,146,126,100.0
615,105,43,33.0
616,198,163,129.0
617,147,109,76.0
618,77,79,81.0
619,56,46,39.0
620,125,88,57.0
621,89,76,71.0
622,123,122,119.0
623,88,56,56.0
624,151,122,113.0
625,117,147,92.0
626,136,119,92.0
627,213,127,115.0
628,183,165,152.0
629,181,143,102.0
630,67,69,68.0
